id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,market_cap_change_percentage_24h
bitcoin,btc,Bitcoin,87218.0,1742735700174,64007782113,1.6061902069874683,-8.078108394799598,1.65965
ethereum,eth,Ethereum,2835.87,342736195062,21660641504,0.839018948919684,-9.809452033573777,0.89829
tether,usdt,Tether,0.999729,184361512115,80906465474,0.008193385537026275,0.04286158059463163,-0.08473
ripple,xrp,XRP,2.08,125591305159,4057243746,2.174634930201423,-6.985522272770886,2.66429
binancecoin,bnb,BNB,843.78,116687170749,1336883686,-0.01711415996869451,-9.190829220886094,0.40419
solana,sol,Solana,133.02,74489091241,4251149091,2.3752571514646137,-4.099613712212829,2.52992
usd-coin,usdc,USDC,0.999704,74088464658,4658629170,-0.008543751536762153,-0.009920339493727824,0.14433
tron,trx,TRON,0.276159,26150595978,510712192,0.6335007041298754,-5.422050387673425,0.65331
staked-ether,steth,Lido Staked Ether,2834.21,24537096511,28951117,0.6584835460515817,-9.170920468901892,1.14552
dogecoin,doge,Dogecoin,0.146787,22301216402,1442764814,3.0938725517125887,-8.121838093244547,3.16344
cardano,ada,Cardano,0.415444,15204091398,810513219,1.4261516868420934,-14.905305769716756,1.48837
figure-heloc,figr_heloc,Figure Heloc,1.026,14167446314,7264133,0.0,-0.03214682330936364,-0.02398
whitebit,wbt,WhiteBIT Coin,57.11,12265756341,114760593,0.11808496294180346,8.40237667914637,0.22159
wrapped-steth,wsteth,Wrapped stETH,3456.9,11453984319,22564138,0.628083396012106,-9.688439539957065,1.00773
bitcoin-cash,bch,Bitcoin Cash,555.92,11108680192,482376871,2.531700465366654,13.628495106978392,2.88172
wrapped-bitcoin,wbtc,Wrapped Bitcoin,87182.0,10922288076,243435999,1.518718958922199,-8.084566490949047,0.47079
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3072.22,10028496904,5878202,0.8932932049305792,-9.837545257231803,0.89597
zcash,zec,Zcash,582.85,9565087968,1301295716,-1.6983357393529321,-17.69899307672405,-1.62853
usds,usds,USDS,0.999651,9165369910,42491010,0.027152971950454505,0.10786599402946022,0.24785
hyperliquid,hype,Hyperliquid,33.47,9085182783,453320606,7.328072822339293,-12.746051410879339,7.58648
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999179,8980404097,1269175447,0.0332668594272325,-0.009748314246668105,-0.01735
chainlink,link,Chainlink,12.65,8831915666,620135934,1.8707237865514144,-8.508446812699272,2.12538
leo-token,leo,LEO Token,9.5,8755617948,552094,0.4532257541567748,3.1124169040418725,0.30362
stellar,xlm,Stellar,0.250311,8092554440,219840499,6.151255958874189,-2.263460285053466,6.4496
weth,weth,WETH,2834.85,7518701990,149418507,0.6110981445062389,-9.11741246449727,1.70686
ethena-usde,usde,Ethena USDe,0.998585,7389182116,90773546,-0.029145696695950248,0.047962117918524436,-0.22559
wrapped-eeth,weeth,Wrapped eETH,3062.01,7272700368,15461767,0.5330016111609905,-9.940346877078374,0.85558
monero,xmr,Monero,380.67,7042231688,206484708,1.5481215001679751,-5.721520463936107,1.72948
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,87322.0,6503890999,356608302,1.5495136720648732,-7.956110988200131,2.01425
litecoin,ltc,Litecoin,84.06,6450078606,475414598,0.48082243999137103,-13.32842029946653,0.6032
